step,loss,lr,norm,dt,tokens_per_sec
0,10.955029487609863,8.39160839160839e-07,15.345991134643555,13.528637170791626,38753.94050273886
1,10.902685165405273,1.678321678321678e-06,14.866586685180664,0.4547548294067383,1152902.5446172236
2,10.803936958312988,2.5174825174825174e-06,14.465790748596191,0.45134902000427246,1161602.1676418774
3,10.66212272644043,3.356643356643356e-06,12.932430267333984,0.45282721519470215,1157810.2693641589
4,10.518568992614746,4.195804195804195e-06,10.578171730041504,0.452286958694458,1159193.273034835
5,10.376808166503906,5.034965034965035e-06,8.876152992248535,0.4538693428039551,1155151.8257677555
6,10.25734806060791,5.874125874125874e-06,7.581060409545898,0.4538447856903076,1155214.3299444253
7,10.14681625366211,6.713286713286712e-06,6.452612400054932,0.4511430263519287,1162132.559688537
8,10.035736083984375,7.5524475524475515e-06,5.508138656616211,0.4530661106109619,1157199.7722208686
9,9.961278915405273,8.39160839160839e-06,4.595252513885498,0.4528660774230957,1157710.9130878388
10,9.875720024108887,9.230769230769229e-06,3.8954274654388428,0.45256638526916504,1158477.5561450026
11,9.828351020812988,1.006993006993007e-05,3.372645854949951,0.4540712833404541,1154638.0914974064
12,9.78179931640625,1.0909090909090909e-05,2.9918017387390137,0.4560079574584961,1149734.322449227
13,9.744479179382324,1.1748251748251748e-05,2.702385425567627,0.4520723819732666,1159743.4855708657
14,9.685218811035156,1.2587412587412587e-05,2.5517427921295166,0.45264649391174316,1158272.5306654545
15,9.663589477539062,1.3426573426573425e-05,2.4606823921203613,0.45273375511169434,1158049.2819022352
16,9.650534629821777,1.4265734265734264e-05,2.3403267860412598,0.45383691787719727,1155234.3569851802
17,9.627376556396484,1.5104895104895103e-05,2.290417432785034,0.45386457443237305,1155163.9619719211
18,9.677850723266602,1.5944055944055942e-05,2.300903081893921,0.4533350467681885,1156513.275859947
19,9.672536849975586,1.678321678321678e-05,2.4064691066741943,0.4531593322753906,1156961.71888916
20,9.571783065795898,1.762237762237762e-05,2.2374401092529297,0.4532475471496582,1156736.5412060022
21,9.538324356079102,1.8461538461538458e-05,2.2882721424102783,0.45214295387268066,1159562.4691469476
22,9.523127555847168,1.93006993006993e-05,2.2468974590301514,0.45290184020996094,1157619.495997069
23,9.511455535888672,2.013986013986014e-05,2.204763174057007,0.453139066696167,1157013.4612814987
24,9.445887565612793,2.0979020979020977e-05,2.2072067260742188,0.45369458198547363,1155596.784307172
25,9.41169261932373,2.1818181818181818e-05,2.175931453704834,0.4518752098083496,1160249.53044528
26,9.396247863769531,2.2657342657342655e-05,2.0786094665527344,0.4530940055847168,1157128.52860061
27,9.352577209472656,2.3496503496503496e-05,2.1196956634521484,0.45445847511291504,1153654.3572429474
28,9.322698593139648,2.4335664335664334e-05,2.1141574382781982,0.45369458198547363,1155596.784307172
29,9.272934913635254,2.5174825174825174e-05,2.1125361919403076,0.45441603660583496,1153762.0985299265
30,9.308927536010742,2.6013986013986012e-05,2.053534984588623,0.4544646739959717,1153638.6214358374
31,9.231428146362305,2.685314685314685e-05,2.0101561546325684,0.4537382125854492,1155485.6643273453
32,9.208797454833984,2.769230769230769e-05,1.9209554195404053,0.45506858825683594,1152107.646032684
33,9.165792465209961,2.8531468531468528e-05,1.9783613681793213,0.45476460456848145,1152877.7629857277
34,9.059911727905273,2.937062937062937e-05,2.09904146194458,0.4539480209350586,1154951.6152092756
35,9.070207595825195,3.0209790209790206e-05,2.5885841846466064,0.45498156547546387,1152328.005755815
36,9.036175727844238,3.104895104895104e-05,2.2623884677886963,0.4544413089752197,1153697.9355646318
37,8.961661338806152,3.1888111888111884e-05,1.9289641380310059,0.4563887119293213,1148775.1258869742
38,8.944631576538086,3.2727272727272725e-05,2.216359853744507,0.45577025413513184,1150333.9571707838
39,8.92259407043457,3.356643356643356e-05,2.015077590942383,0.4563920497894287,1148766.7242273332
40,8.88966178894043,3.44055944055944e-05,1.815551519393921,0.45549535751342773,1151028.1967792488
41,8.815406799316406,3.524475524475524e-05,1.8965827226638794,0.45630669593811035,1148981.605282229
42,8.769697189331055,3.608391608391608e-05,2.064593553543091,0.4561350345611572,1149414.0118055437
43,8.780766487121582,3.6923076923076916e-05,1.8371896743774414,0.4563009738922119,1148996.0135913452
44,8.731581687927246,3.7762237762237757e-05,1.7775640487670898,0.45641589164733887,1148706.715946482
45,8.718121528625488,3.86013986013986e-05,1.872174620628357,0.45598864555358887,1149783.0156790263
46,8.661922454833984,3.944055944055944e-05,1.7283716201782227,0.4561440944671631,1149391.182214993
47,8.670848846435547,4.027972027972028e-05,1.7289021015167236,0.45524072647094727,1151672.0045333186
48,8.66271686553955,4.111888111888112e-05,1.7430148124694824,0.4556269645690918,1150695.724288057
49,8.580259323120117,4.1958041958041954e-05,1.716079831123352,0.45574307441711426,1150402.5610713959
50,8.584395408630371,4.2797202797202795e-05,1.5918382406234741,0.4565887451171875,1148271.8433312168
51,8.545120239257812,4.3636363636363636e-05,1.6931570768356323,0.45630931854248047,1148975.0015946496
52,8.503522872924805,4.447552447552447e-05,1.7837551832199097,0.45459914207458496,1153297.3810891649
53,8.452171325683594,4.531468531468531e-05,1.7177537679672241,0.45406436920166016,1154655.6734275531
54,8.458102226257324,4.6153846153846145e-05,1.567218542098999,0.4561460018157959,1149386.376100961
55,8.424901962280273,4.699300699300699e-05,1.5710716247558594,0.45629119873046875,1149020.6286220676
56,8.374529838562012,4.7832167832167826e-05,1.5186340808868408,0.45699024200439453,1147263.0087251586
57,8.356300354003906,4.867132867132867e-05,1.4456406831741333,0.4558868408203125,1150039.7753455834
58,8.27879524230957,4.95104895104895e-05,1.5738134384155273,0.4570183753967285,1147192.3848682803
59,8.245529174804688,5.034965034965035e-05,1.6339125633239746,0.4564998149871826,1148495.5366624205
60,8.23202133178711,5.118881118881118e-05,1.795770287513733,0.45743441581726074,1146149.0038157655
61,8.229673385620117,5.2027972027972024e-05,1.4417637586593628,0.45732903480529785,1146413.1076287539
62,8.127035140991211,5.286713286713286e-05,1.4385960102081299,0.45704126358032227,1147134.9345853091
63,8.091687202453613,5.37062937062937e-05,1.5755418539047241,0.4568188190460205,1147693.523429871
64,8.062461853027344,5.4545454545454546e-05,1.5420136451721191,0.4563727378845215,1148815.3355309833
65,8.049834251403809,5.538461538461538e-05,1.413600206375122,0.4564347267150879,1148659.31383715
66,7.988679885864258,5.622377622377622e-05,1.3288147449493408,0.45651841163635254,1148448.7517616935
67,7.987030029296875,5.7062937062937055e-05,1.3543388843536377,0.4571356773376465,1146898.012978221
68,7.947123050689697,5.79020979020979e-05,1.3653661012649536,0.45680809020996094,1147720.478766091
69,7.856366157531738,5.874125874125874e-05,1.3824303150177002,0.45580077171325684,1150256.937980413
70,7.812671184539795,5.958041958041958e-05,1.4090747833251953,0.45645642280578613,1148604.7162558495
71,7.825176239013672,6.041958041958041e-05,1.4103697538375854,0.4564230442047119,1148688.714684725
72,7.75801420211792,6.125874125874125e-05,1.3503798246383667,0.45754408836364746,1145874.2738323957
73,7.728989601135254,6.209790209790209e-05,1.2929784059524536,0.456620454788208,1148192.1024391644
74,7.666900157928467,6.293706293706293e-05,1.2458281517028809,0.4570281505584717,1147167.848105941
75,7.688464164733887,6.377622377622377e-05,1.5449367761611938,0.4568898677825928,1147515.0511533734
76,7.613212585449219,6.461538461538462e-05,1.0838770866394043,0.45717597007751465,1146796.9322865033
77,7.626243591308594,6.545454545454545e-05,1.238407015800476,0.457014799118042,1147201.361994805
78,7.586576461791992,6.629370629370628e-05,1.3033177852630615,0.45723724365234375,1146643.2520064742
79,7.5234808921813965,6.713286713286712e-05,1.0593384504318237,0.4572126865386963,1146704.838767913
80,7.502166271209717,6.797202797202797e-05,1.448641061782837,0.45812535285949707,1144420.400939466
81,7.503353595733643,6.88111888111888e-05,1.1561927795410156,0.45630955696105957,1148974.4012631793
82,7.437552452087402,6.965034965034965e-05,1.2674498558044434,0.45784831047058105,1145112.885665411
83,7.383151531219482,7.048951048951048e-05,1.1728394031524658,0.4577033519744873,1145475.5525347872
84,7.381197452545166,7.132867132867133e-05,1.090280294418335,0.4575765132904053,1145793.0745393299
85,7.335123062133789,7.216783216783216e-05,1.1735328435897827,0.45855116844177246,1143357.6797582076
86,7.323570251464844,7.3006993006993e-05,1.4988831281661987,0.45581674575805664,1150216.6273599067
