step,loss,dt_ms,tokens_per_sec
0,10.934289932250977,5811.086177825928,1409.7192416899986
1,9.524833679199219,6216.1242961883545,1317.862965678345
2,8.794486045837402,6531.547784805298,1254.2203272335394
3,9.868231773376465,2775.902032852173,2951.112792544381
4,10.232122421264648,2276.179075241089,3599.013842587195
5,10.350130081176758,2689.4099712371826,3046.0212788723748
6,10.403538703918457,5225.5260944366455,1567.6890425868526
7,11.068422317504883,3188.8670921325684,2568.937419878972
8,12.102519035339355,2701.9479274749756,3031.8867054020498
9,12.863447189331055,2277.8499126434326,3596.3739114370483
10,12.59819221496582,2137.1049880981445,3833.2230029046145
11,12.174728393554688,2330.2202224731445,3515.547552542284
12,11.847248077392578,2337.208032608032,3505.0367300247344
13,11.672656059265137,2679.9871921539307,3056.731026171813
14,11.199926376342773,2753.589153289795,2975.026245368803
15,10.963882446289062,3110.6910705566406,2633.4984137573288
16,10.895078659057617,2690.1252269744873,3045.2113967992955
17,10.715324401855469,3190.446138381958,2567.6659766945922
18,10.562207221984863,2333.1310749053955,3511.1614980020663
19,10.513498306274414,2450.0041007995605,3343.667872770717
20,10.563309669494629,2828.6619186401367,2896.0689667495712
21,10.697895050048828,2569.12899017334,3188.629310296827
22,10.563688278198242,2177.158832550049,3762.702048892283
23,11.09608268737793,2541.1601066589355,3223.7244629070897
24,11.137065887451172,2748.6698627471924,2980.350645607328
25,11.24936294555664,2605.2751541137695,3144.389561718541
26,11.312845230102539,3513.3800506591797,2331.657800146904
27,11.772584915161133,2719.756603240967,3012.0342350628353
28,12.035993576049805,3271.2159156799316,2504.2675907552466
29,12.233518600463867,5249.357223510742,1560.5720188578125
30,12.470304489135742,2627.464771270752,3117.8343814817376
31,12.503929138183594,2124.799966812134,3855.421746965936
32,12.619754791259766,2602.0498275756836,3148.287136235375
33,12.58706283569336,2189.2249584198,3741.9635512985615
34,12.581611633300781,2429.3339252471924,3372.117729416897
35,12.586172103881836,3016.447067260742,2715.7778065832977
36,12.630900382995605,2702.5861740112305,3031.170690791064
37,12.582601547241211,2508.655071258545,3265.4947640491
38,12.632041931152344,2229.8808097839355,3673.738956834094
39,12.46029281616211,2593.8501358032227,3158.239516973185
40,12.427677154541016,1880.0559043884277,4357.31723768332
41,12.63753604888916,2225.285768508911,3681.3249407913945
42,12.689779281616211,1944.633960723877,4212.617986446448
43,12.784770965576172,1611.3359928131104,5083.9800243636355
44,12.861371994018555,1608.7889671325684,5092.028953058427
45,12.810586929321289,2082.568883895874,3933.6033796275574
46,12.687427520751953,2031.4249992370605,4032.6371896952423
47,12.471000671386719,2052.5410175323486,3991.1504471899752
48,12.522333145141602,1607.0549488067627,5097.523271424263
49,12.483280181884766,1608.4160804748535,5093.209462057524
